drug1	drug2	CommonTarget	TotalTarget	Common/Total
199168	199171	10	10	1
199170	199172	10	10	1
199168	199172	10	10	1
199171	199172	10	10	1
199050	199125	22	22	1
199117	199255	2	2	1
199143	199255	2	2	1
199117	199143	2	2	1
199096	199105	1	1	1
24677	198924	19	19	1
199005	199022	1	1	1
190683	198817	16	16	1
43340	199255	2	2	1
43340	199117	2	2	1
198753	198950	1	1	1
43340	199143	2	2	1
199285	199335	2	2	1
199212	199213	16	19	0.8421053
198808	199079	16	16	1
198751	198808	16	16	1
198751	198817	16	16	1
198785	199196	3	6	0.5
190683	198751	16	16	1
198751	199079	16	16	1
199213	199224	16	16	1
94138	124552	3	3	1
198802	199038	1	6	0.1666667
199212	199224	16	19	0.8421053
198808	198817	16	16	1
43340	199177	1	2	0.5
198785	198795	4	9	0.4444444
190683	198808	16	16	1
198795	199196	4	8	0.5
199143	199177	1	2	0.5
199177	199255	1	2	0.5
199117	199177	1	2	0.5
199050	199106	22	22	1
199106	199125	22	22	1
199162	199166	1	1	1
190683	199079	16	16	1
198817	199079	16	16	1
106104	199196	4	9	0.4444444
199038	199315	2	6	0.3333333
198855	199053	5	5	1
199077	199143	2	3	0.6666667
198824	198872	1	1	1
106104	198785	3	11	0.2727273
198936	199294	3	6	0.5
199077	199117	2	3	0.6666667
199077	199255	2	3	0.6666667
198950	199057	1	1	1
199057	199150	1	1	1
199059	199229	1	1	1
199105	199204	1	1	1
43340	199077	2	3	0.6666667
106104	198795	4	13	0.3076923
198957	199012	1	1	1
199079	199213	13	19	0.6842105
198753	199057	1	1	1
198759	199294	3	6	0.5
199018	199038	2	4	0.5
113652	196438	10	17	0.5882353
199249	199306	1	1	1
198808	199213	13	19	0.6842105
199096	199204	1	1	1
199077	199321	3	3	1
199258	199306	1	1	1
199079	199212	16	19	0.8421053
198751	199213	13	19	0.6842105
198808	199224	13	19	0.6842105
155147	199222	16	19	0.8421053
198774	198777	20	20	1
198836	199155	3	8	0.375
198768	199100	1	1	1
155147	198924	16	19	0.8421053
198876	198945	5	5	1
199077	199177	1	3	0.3333333
198930	199315	5	9	0.5555556
199059	199227	1	1	1
198759	198928	3	3	1
199079	199224	13	19	0.6842105
24677	155147	16	19	0.8421053
198802	199228	4	6	0.6666667
106104	199157	5	16	0.3125
190683	199213	13	19	0.6842105
198901	199266	1	1	1
198817	199213	13	19	0.6842105
198808	199212	16	19	0.8421053
198766	199131	1	4	0.25
198751	199212	16	19	0.8421053
173033	199294	4	7	0.5714286
198976	199221	19	19	1
198802	198930	4	9	0.4444444
199110	199220	2	9	0.2222222
198751	199224	13	19	0.6842105
113259	198975	1	1	1
196438	198750	17	17	1
94138	199255	2	3	0.6666667
198870	199222	16	19	0.8421053
198785	199156	5	9	0.5555556
164866	192518	1	1	1
199155	199156	5	9	0.5555556
198870	198924	16	19	0.8421053
24677	198870	16	19	0.8421053
190683	199212	16	19	0.8421053
94138	199117	2	3	0.6666667
198817	199224	13	19	0.6842105
198817	199212	16	19	0.8421053
198795	199156	6	11	0.5454545
190683	199224	13	19	0.6842105
199118	199214	16	19	0.8421053
94138	199177	1	3	0.3333333
198950	199150	1	1	1
198930	198945	5	9	0.5555556
43340	94138	2	3	0.6666667
198985	199177	1	1	1
199156	199196	4	9	0.4444444
199157	199196	3	13	0.2307692
192602	198733	1	1	1
198766	199181	2	3	0.6666667
198795	199157	5	15	0.3333333
198753	199150	1	1	1
104600	189125	3	3	1
94138	199077	2	4	0.5
198938	199231	1	1	1
198928	199279	3	3	1
106104	199156	5	13	0.3846154
198785	199157	5	12	0.4166667
186620	199199	2	2	1
198945	199228	5	6	0.8333333
198807	198885	1	1	1
199249	199258	1	1	1
124552	199143	2	3	0.6666667
198831	199052	1	2	0.5
198928	198936	3	3	1
1486	198891	0	0	NaN
198924	199224	16	19	0.8421053
198985	199143	1	2	0.5
173033	198936	1	7	0.1428571
198945	199315	5	5	1
43340	198985	1	2	0.5
199222	199224	16	19	0.8421053
198885	199269	1	1	1
198985	199255	1	2	0.5
198985	199117	1	2	0.5
199156	199157	6	15	0.4
12276	198945	4	5	0.8
199143	199321	2	3	0.6666667
198924	199212	19	19	1
173033	198759	1	7	0.1428571
199117	199321	2	3	0.6666667
198797	198962	20	20	1
199212	199222	19	19	1
198785	198836	4	7	0.5714286
155147	199224	13	19	0.6842105
199255	199321	2	3	0.6666667
43340	199321	2	3	0.6666667
12276	199018	1	6	0.1666667
199018	199228	1	8	0.125
113652	199220	2	14	0.1428571
186620	199188	2	2	1
24677	199224	16	19	0.8421053
106104	198836	4	11	0.3636364
1486	102415	0	0	NaN
198966	198976	19	19	1
198836	199196	3	7	0.4285714
198802	198945	4	5	0.8
164866	199032	1	1	1
102415	198891	0	0	NaN
124552	199255	2	3	0.6666667
198852	198945	5	5	1
69651	111299	1	1	1
24677	199212	19	19	1
113652	198750	10	17	0.5882353
199177	199321	1	3	0.3333333
198924	199213	16	19	0.8421053
124552	199117	2	3	0.6666667
198998	199209	3	3	1
198795	198836	4	10	0.4
199213	199222	16	19	0.8421053
12276	199038	2	5	0.4
198945	199038	2	6	0.3333333
41644	199112	1	3	0.3333333
124552	199077	2	4	0.5
106104	199154	4	11	0.3636364
199282	199284	1	1	1
12276	199228	4	6	0.6666667
124552	199177	1	3	0.3333333
198876	199228	5	6	0.8333333
15149	102415	0	0	NaN
43340	87034	2	2	1
198899	198966	16	20	0.8
156899	198767	1	1	1
43340	124552	2	3	0.6666667
198876	198930	5	9	0.5555556
12276	198802	3	5	0.6
24677	199213	16	19	0.8421053
198985	199077	1	3	0.3333333
198876	199315	5	5	1
152206	198776	1	1	1
12276	199315	4	5	0.8
155147	199212	16	19	0.8421053
198930	199018	2	10	0.2
196438	199220	6	17	0.3529412
199188	199199	2	2	1
184403	199258	1	1	1
198861	199190	3	3	1
198807	199269	1	1	1
41644	198864	1	3	0.3333333
113652	199110	5	10	0.5
198918	199057	1	1	1
198870	199224	16	16	1
198802	198876	4	5	0.8
198876	199038	2	6	0.3333333
198777	198962	20	20	1
198785	199154	3	8	0.375
198928	199294	3	6	0.5
198986	199182	1	1	1
155147	199213	13	19	0.6842105
199154	199196	4	6	0.6666667
184403	199306	1	1	1
198945	199018	1	7	0.1428571
102415	110436	0	0	NaN
199087	199182	1	1	1
12276	198930	4	9	0.4444444
198785	199155	3	7	0.4285714
198876	199018	1	7	0.1428571
199169	199171	10	10	1
43340	198893	2	2	1
87034	199177	1	2	0.5
199169	199170	10	10	1
199155	199196	4	5	0.8
87034	199255	2	2	1
87034	199117	2	2	1
106104	199155	4	10	0.4
198899	199221	16	20	0.8
94138	199321	2	4	0.5
199169	199172	10	10	1
199168	199169	10	10	1
171165	199191	1	1	1
87034	199143	2	2	1
198836	199157	4	14	0.2857143
198870	199212	16	19	0.8421053
199131	199181	1	3	0.3333333
198918	199150	1	1	1
198966	199214	16	19	0.8421053
198795	199154	4	10	0.4
1486	110436	0	0	NaN
171165	199087	1	1	1
1486	15149	0	0	NaN
124552	198985	1	3	0.3333333
198776	198986	1	1	1
155147	198808	16	16	1
198795	199155	5	8	0.625
192518	199032	1	1	1
198808	198924	16	19	0.8421053
152206	199087	1	1	1
198852	198876	5	5	1
198808	199222	16	19	0.8421053
198776	199087	1	1	1
155147	199079	16	16	1
198924	199079	16	19	0.8421053
15149	198891	0	0	NaN
198836	199154	3	9	0.3333333
12575	198891	0	0	NaN
199079	199222	16	19	0.8421053
198822	199102	1	1	1
110436	198891	0	0	NaN
198985	199321	1	3	0.3333333
15149	110436	0	0	NaN
199146	199177	0	2	0
198870	199213	16	16	1
113259	152206	1	1	1
198893	199177	1	2	0.5
198918	198950	1	1	1
186620	199207	2	2	1
198852	199038	2	6	0.3333333
24677	198808	16	19	0.8421053
198751	198924	16	19	0.8421053
198802	198852	4	5	0.8
155147	198751	16	16	1
139921	198975	1	1	1
12575	102415	0	0	NaN
198893	199117	2	2	1
198893	199255	2	2	1
113259	139921	1	1	1
198751	199222	16	19	0.8421053
12575	110436	0	0	NaN
198870	199214	16	16	1
184403	199249	1	1	1
24677	199079	16	19	0.8421053
198733	199001	1	1	1
198852	199315	5	5	1
199105	199179	1	2	0.5
198750	199220	6	17	0.3529412
171165	198986	1	1	1
198753	198918	1	1	1
198893	199143	2	2	1
87034	199077	2	3	0.6666667
198899	199214	13	20	0.65
190683	198924	16	19	0.8421053
199096	199179	1	2	0.5
155147	190683	16	16	1
186620	199226	2	2	1
198817	198924	16	19	0.8421053
155147	198817	16	16	1
190683	199222	16	19	0.8421053
190954	199264	2	4	0.5
124552	199321	2	4	0.5
198817	199222	16	19	0.8421053
173033	198928	1	7	0.1428571
190184	199242	2	3	0.6666667
199146	199255	1	2	0.5
199117	199146	1	2	0.5
24677	198751	16	19	0.8421053
186620	199185	2	2	1
32649	171612	1	1	1
199004	199021	2	3	0.6666667
1486	12575	0	0	NaN
15149	141865	0	0	NaN
12575	15149	0	0	NaN
199143	199146	1	2	0.5
198716	199292	3	4	0.75
199154	199156	4	11	0.3636364
198899	199118	16	20	0.8
102415	141865	0	0	NaN
24677	190683	16	19	0.8421053
199155	199157	4	13	0.3076923
199154	199155	4	7	0.5714286
186620	199186	2	2	1
199179	199204	1	2	0.5
41644	94138	2	3	0.6666667
24677	198817	16	19	0.8421053
12276	198852	4	5	0.8
40773	76387	1	1	1
199154	199194	2	8	0.25
190184	198714	2	3	0.6666667
199199	199207	2	2	1
198876	199157	5	12	0.4166667
156899	198954	1	1	1
199087	199191	1	1	1
198789	198954	1	2	0.5
59199	198854	1	1	1
41644	124552	2	3	0.6666667
199154	199157	3	15	0.2
199118	199221	19	19	1
198893	199077	2	3	0.6666667
87034	94138	2	3	0.6666667
199188	199207	2	2	1
198808	198870	13	19	0.6842105
198750	199110	5	17	0.2941176
87034	198985	1	2	0.5
113259	199182	1	1	1
198870	199079	13	19	0.6842105
5077	43340	1	2	0.5
87034	199321	2	3	0.6666667
199188	199226	2	2	1
41644	199143	1	3	0.3333333
155147	199214	13	19	0.6842105
141865	198891	0	0	NaN
198945	199157	5	12	0.4166667
198985	199146	0	2	0
198759	199279	3	3	1
171165	198776	1	1	1
198986	199191	1	1	1
199077	199146	1	3	0.3333333
198751	198870	13	19	0.6842105
113259	198776	1	1	1
41644	199177	1	2	0.5
41644	199255	1	3	0.3333333
106104	199092	0	12	0
199185	199199	2	2	1
24677	198750	16	20	0.8
41644	199117	1	3	0.3333333
199004	199036	2	2	1
41644	43340	1	3	0.3333333
198913	198954	1	1	1
199321	199333	1	3	0.3333333
190683	198870	13	19	0.6842105
110436	141865	0	0	NaN
199185	199226	2	2	1
198893	198985	1	2	0.5
198817	198870	13	19	0.6842105
199186	199199	2	2	1
190954	198758	4	6	0.6666667
94138	198893	2	3	0.6666667
5077	199177	0	2	0
152206	198975	1	1	1
198978	199169	10	10	1
199038	199059	1	3	0.3333333
199186	199226	2	2	1
198852	199018	1	7	0.1428571
171612	199311	1	1	1
198750	199222	16	20	0.8
199092	199157	0	15	0
12276	199157	4	12	0.3333333
198750	198924	16	20	0.8
198893	199321	2	3	0.6666667
63937	199092	2	4	0.5
94138	199146	1	3	0.3333333
12575	141865	0	0	NaN
199154	199158	3	7	0.4285714
24677	196438	16	20	0.8
5077	199255	1	2	0.5
5077	199117	1	2	0.5
156899	198886	1	1	1
87034	124552	2	3	0.6666667
86623	115206	2	2	1
106104	198876	2	12	0.1666667
199214	199221	16	19	0.8421053
5077	199143	1	2	0.5
198978	199171	10	10	1
199146	199321	1	3	0.3333333
198978	199170	10	10	1
198876	199156	0	14	0
198978	199168	10	10	1
198978	199172	10	10	1
9731	173868	1	1	1
41644	199146	0	3	0
196438	198924	16	20	0.8
196438	199222	16	20	0.8
198765	198969	1	2	0.5
198757	199030	1	1	1
199092	199196	0	7	0
41644	198985	1	2	0.5
198969	199177	1	1	1
199199	199226	2	2	1
199112	199146	1	2	0.5
43340	199112	2	2	1
198785	199092	0	8	0
156899	198913	1	1	1
199112	199143	2	2	1
199112	199255	2	2	1
199112	199177	1	2	0.5
199112	199117	2	2	1
137832	198770	0	2	0
139921	152206	1	1	1
12276	106104	2	11	0.1818182
137059	198757	1	2	0.5
198864	199146	1	2	0.5
43340	198864	2	2	1
199022	199296	1	1	1
198774	198962	20	20	1
199077	199333	1	3	0.3333333
198936	199279	3	3	1
198864	199143	2	2	1
198864	199177	1	2	0.5
198864	199255	2	2	1
199077	199112	2	3	0.6666667
198864	199117	2	2	1
198969	199143	1	2	0.5
198785	199158	3	6	0.5
199005	199296	1	1	1
124552	198893	2	3	0.6666667
198783	199154	1	7	0.1428571
171165	198996	1	1	1
198962	199169	10	20	0.5
43340	198969	1	2	0.5
199177	199333	0	2	0
198976	199118	19	19	1
198795	199092	0	11	0
198969	199255	1	2	0.5
198969	199117	1	2	0.5
106104	198945	2	12	0.1666667
125575	199186	2	2	1
198864	199077	2	3	0.6666667
198849	198884	0	2	0
198836	198876	0	11	0
198947	199057	1	1	1
124552	199146	1	3	0.3333333
198733	199063	1	1	1
41644	199321	1	4	0.25
83520	199018	1	6	0.1666667
5077	199077	1	3	0.3333333
125575	199185	2	2	1
199194	199196	2	6	0.3333333
198969	199077	1	3	0.3333333
199186	199207	2	2	1
199092	199156	0	12	0
198750	199214	13	20	0.65
198985	199333	0	2	0
198795	199158	3	9	0.3333333
198876	199196	0	9	0
198785	199194	1	8	0.125
113259	199087	1	1	1
5077	198985	0	2	0
199078	199249	1	2	0.5
155147	198750	16	17	0.9411765
198800	199020	4	4	1
1486	141865	0	0	NaN
198975	199182	1	1	1
94138	198969	1	3	0.3333333
198874	198989	4	6	0.6666667
43340	199333	0	3	0
199185	199207	2	2	1
198750	198870	13	20	0.65
198776	198975	1	1	1
198850	199022	1	1	1
198836	199092	0	9	0
198785	198876	0	10	0
199092	199154	0	9	0
24677	113652	9	20	0.45
198850	199005	1	1	1
127869	198925	2	5	0.4
199143	199333	0	3	0
198969	199321	1	3	0.3333333
94138	199112	2	3	0.6666667
198758	199264	2	6	0.3333333
198795	198876	0	13	0
199255	199333	0	3	0
199117	199333	0	3	0
137832	199159	0	2	0
198795	199194	2	10	0.2
198947	199150	1	1	1
42024	199285	2	2	1
5077	94138	1	3	0.3333333
42024	199335	2	2	1
152206	198956	1	1	1
198947	198950	1	1	1
198876	199155	0	10	0
199157	199158	3	13	0.2307692
139921	199182	1	1	1
12276	199061	1	5	0.2
198817	198849	1	16	0.0625
199135	199182	1	1	1
113259	198986	1	1	1
94138	198864	2	3	0.6666667
83458	199321	3	4	0.75
173868	198994	1	1	1
198836	199158	3	7	0.4285714
83458	199333	1	4	0.25
190683	198849	1	16	0.0625
113652	198924	9	20	0.45
199112	199321	2	3	0.6666667
199118	199222	19	19	1
164866	198980	1	1	1
113652	199222	9	20	0.45
199207	199226	2	2	1
198985	199112	1	2	0.5
199059	199228	0	7	0
198753	198947	1	1	1
198924	199118	19	19	1
139921	198776	1	1	1
5077	199321	1	3	0.3333333
171165	198975	1	1	1
198836	199194	1	9	0.1111111
198808	198849	1	16	0.0625
199021	199036	2	3	0.6666667
199018	199157	1	14	0.07142857
12276	199196	0	8	0
198864	199321	2	3	0.6666667
199018	199092	0	6	0
199146	199333	0	2	0
124552	198969	1	3	0.3333333
83458	94138	3	4	0.75
198945	199196	0	9	0
199156	199158	3	10	0.3
24677	199118	19	19	1
198864	198985	1	2	0.5
198803	198998	3	3	1
198945	199092	0	8	0
199018	199229	1	3	0.3333333
198751	198849	1	16	0.0625
87034	199333	0	3	0
199279	199294	3	6	0.5
198849	199079	1	16	0.0625
83458	199077	3	4	0.75
199038	199229	1	3	0.3333333
12276	63937	0	7	0
12276	198785	0	9	0
198785	198945	0	10	0
199155	199158	3	6	0.5
198945	199156	0	14	0
94138	199333	0	4	0
137832	198783	0	3	0
199157	199194	1	15	0.06666667
199157	199315	5	12	0.4166667
124552	199112	2	3	0.6666667
199092	199155	0	8	0
198930	199157	5	16	0.3125
198795	198945	0	13	0
41644	87034	1	3	0.3333333
198956	198975	1	1	1
106104	199018	2	10	0.2
198893	199333	0	3	0
199157	199228	5	13	0.3846154
198776	199135	1	1	1
192518	198980	1	1	1
199156	199194	2	11	0.1818182
12276	199156	0	13	0
199018	199061	1	4	0.25
124552	198864	2	3	0.6666667
12276	198795	0	12	0
83458	199143	2	4	0.5
113259	198956	1	1	1
83458	199177	1	4	0.25
199092	199194	0	7	0
155147	196438	16	17	0.9411765
198873	199306	1	1	1
199078	199306	1	2	0.5
43340	83458	2	4	0.5
83458	199255	2	4	0.5
83458	124552	3	4	0.75
83458	199117	2	4	0.5
198930	199059	1	9	0.1111111
199155	199194	2	7	0.2857143
5077	124552	1	3	0.3333333
198873	199258	1	1	1
198802	199229	0	5	0
83520	198802	0	8	0
198849	199213	1	16	0.0625
198873	199249	1	1	1
198876	199061	1	6	0.1666667
87034	199112	2	2	1
5077	41644	0	3	0
76387	198767	1	1	1
198980	199032	1	1	1
173033	199027	2	6	0.3333333
83520	199092	3	4	0.75
12276	198783	0	6	0
12276	198836	0	10	0
41644	198893	1	3	0.3333333
137832	199018	1	3	0.3333333
198849	199224	1	16	0.0625
198783	199196	1	5	0.2
5077	199112	1	2	0.5
15540	190472	17	31	0.5483871
87034	198864	2	2	1
76387	156899	1	1	1
139921	171165	1	1	1
12276	199059	0	5	0
12276	199154	0	10	0
198802	199157	4	12	0.3333333
32387	190472	15	20	0.75
199018	199227	1	3	0.3333333
198783	199092	0	5	0
198876	199154	0	11	0
198783	198785	1	6	0.1666667
199078	199258	1	2	0.5
63937	198783	1	4	0.25
5077	198864	1	2	0.5
124552	199333	0	4	0
173033	199279	1	7	0.1428571
198918	198947	1	1	1
198821	199070	3	3	1
199092	199158	0	7	0
152206	199135	1	1	1
198976	199214	16	19	0.8421053
